Δ Founding Member	Ethereum Address	Genesis Sentence 🌝	MVT (Movement Token) Balance	Movement Activity	Bitcointalk Rank	Spheres	Vote #00001	Media	Greenpoint	Contributor	Ambassador
Krista	0x9E9293Abd836047962D2db75942a566884335568	The future belongs to those, who believe in beauty of their dreams.	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 10.08.17 #2 Airdrop Participant Hard Cap Proposal: 2000				
Gvent	0x9d7580067e7da73B8E6Df2b0Ed99526Cb0D7bc76	past furniture lom mops koko	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 20.08.17 #2 Airdrop Participant Hard Cap Proposal: 900				
Cent21	0xB2C9F2a7C0090Ee4ACc7aB94C0C15f0ef12Ae975	speriamo che questo airdrop non sia un pacco	5217	0.5	Hero Member	Sphere Name: Italia!✓ Description: Italian sphere. All about Italy and italians.	#1 Airdrop Closing Date Proposal: 15.08.17 #2 Airdrop Participant Hard Cap Proposal: 999				
fearofsalt	0x229F58d5Ff796eB6B9B4CfbadF74B18037389e64	Good luck kamarades with your projecto	1252	No Vote	Full Member						
BitBitCoin	0x2734168834B8087F507D6f9e8c6Db2ed2dEaab1B	sempre e solo forza juve	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 08.08.17 #2 Airdrop Participant Hard Cap Proposal: 500				
Koontas	0x39228628F3376B675Ef7ae61c59C05817db80D6D	This is genesis airdrop moonlight euphoria	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 25.08.17 #2 Airdrop Participant Hard Cap Proposal: 700				
NoxX	0x09fA68036052d096AeD34d3727a6dCA4B338200A	live free die young and leave a beautiful corpse	9739	1	Senior Member		#1 Airdrop Closing Date Proposal: 08.08.17 #2 Airdrop Participant Hard Cap Proposal: 600 	✓			
DrBeer	0x563805c2056dD0f8dAF5719A8222D935098E1848	trubla noble vulharius penterre ultipa marzo	5963	0.5	Legendary		#1 Airdrop Closing Date Proposal: 06.09.17 #2 Airdrop Participant Hard Cap Proposal: 3333				
Mozdalifa17	0xCa965f6Bd94e9a5BB46d4032BC51F8A48b2487E8	احب مكان عندي ) وطني .. عندي خمن اين يقع يامتعبن	1392	No Vote	Senior Member						
Olekso	0xb06d93270472390B53b38F9eb967889aB615ADbD	Только трус не играет в хоккей	1566	No Vote	Hero Member						
Choadmeyer	0xC8495f876d48e85F77652025423F7A0dFa28942C	nine two five six one	1392	No Vote	Senior Member						
*Sakura*	0xeec79B8e09Bcc07aDf007D18B1B5Eb86fa47f0B4	I believe this project will be huge in some days, so I will HODL!	11926	1	Legendary		#1 Airdrop Closing Date Proposal: 15.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
ujang1	0x2fB5A71c9798Fc5b03028a20EAC1525A4a8cCc24	make the world better and help another	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 22.09.17 #2 Airdrop Participant Hard Cap Proposal: 2000				
MirHak	0xa9B96437Ae35e03B238907A68BEeEe3bfD97C4C1	кто не играет тот не может выиграть	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 01.09.2017 #2 Airdrop Participant Hard Cap Proposal: 3000				
shtako	0xDd1598c2fc5e1128d925718aEDcC4b806C150896	we drank the beer and found some more	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 10.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
jukKas	0x8aa8005df83Bc5ca56a37825b299077E27199B2A	Taitaapi olla päikkereitten aika, poijaat!	8348	1	Full Member		#1 Airdrop Closing Date Proposal: 10.10.17 #2 Airdrop Participant Hard Cap Proposal: 3000 	✓			
VentoXDR	0x73995429BeFac9512979f304895032A2713A59f0	legal treasure yellow submarine yield satisfied liver grass change raft	4870	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 9.08.17 #2 Airdrop Participant Hard Cap Proposal: 800 	✓			
testadimerlo	0x15630B7be464718162F3c713ED9D97fDac0698D0	no one can say i love you	23213	1.75	Senior Member		#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: 3000 	✓	✓	✓	
sprinkles	0x2cEBcd253Eb7A8a88617BFF7Cb791Ce986223AD0	My names not down I'm not getting in?	9739	1	Senior Member	Sphere Name: Creative Designs for the DAO✓ Description: I want to join #324 freshb Creative designs for the DAO sphere as a Member and i will contribute by commenting on images, and providing images and suggestions for DAO.	#1 Airdrop Closing Date Proposal: 14.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓			
Jarod1231	0x1d2dd3b422de559D084495AeF1b347851b351ac1	You should watch The Adventures of Autogrizz	9739	1	Senior Member		#1 Airdrop Closing Date Proposal: 08.08.17 #2 Airdrop Participant Hard Cap Proposal: 600	✓			
amy1284455127	0x26c66f18Bde464bE7f892aa01E22eD33C6C73b99	Blockchain spirit, we are serious!	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 09.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
Jcga	0xa0Cf4cC8d167A13cd4e46B22D8C893e95D250ce2	Passez une bonne semaine :)	1789	No Vote	Legendary						
oldcoinguru	0x6770fB7dA1aE837f04acC51C3c61e60970a30f45	Bitcoin at all time high	1252	No Vote	Full Member						
r1d1	0x653ed11d1f552765338dee0744212510dd078bf4 	bitcoin waves ardor ignis nxt viacoin	10957	1	Hero Member	Sphere Name: Russian Community✓ Description: I want to join to Russian DAO Community. I can translate news and help newbies.	#1 Airdrop Closing Date Proposal: 01.10.17 #2 Airdrop Participant Hard Cap Proposal: 3000 		✓		
Mushrooms	0x97F122dDc7df152395Bc4985777040682374E122	There is a house in New Orleans	1392	No Vote	Senior Member						
Frobisher	0x00d5952ad384a36a46D2fc8CcAf8a4255c49BBAD	This is surely only the beginning!	2922	0.5	Member	Sphere Name: Space Exploration Sphere✓ Description: This sphere will be about the discussion and promotion of cutting edge space technology, space exploration projects and future plans and possibilities. It will also be involved in finding ways to use cryptocurrency to fund space program projects and explore how blockchain technology could be used in the space industry. I written news articles, press releases and white papers for the space industry and I am familiar and deeply interested in the technology and challenges, I believe I would be a perfect fit for a Space Exploration Ambassador. Thanks!	#1 Airdrop Closing Date Proposal: 10.31.17 #2 Airdrop Participant Hard Cap Proposal: 3333	✓			
sth2017	0xc202f528fFAf50B9401Cf79cF4c03FFbb82829A8	If you represent your site for start-ups - then you need to have a dozen projects for a successful start.	1392	No Vote	Senior Member						
dariloff	0x34cb52c6d97521e9b51b05c2860c8a448ffcef5c	уфф, уфф. успел на Титаник 	4638	0.5	Senior Member	Sphere Name: programmer✓ Description: Making  own arbitrage crypto bot on GOLANG.					
bobyhodob	0xE70360ba351F900a82ACaf7bd837A6E112c5c389	I really love this airdrop	4638	0.5	Senior Member		1 Airdrop Closing Date Proposal: 24.08.17 2 Airdrop Participant Hard Cap Proposal: 2500				
hopenotlate	0x931455aE7DaED2a745B4B83522EAFE7713ea452C	The problem is not the fall, but the landing	5963	0.5	Legendary		#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000 				
andycarrol	0xf4B58Ef4Eaca3936499379424287b3B8914a4D23	spongebob patrick sandy mrcrab squidward	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 17.08.17 #2 Airdrop Participant Hard Cap Proposal: 2929 				
dimox	0xAdf714d7d6Ad6A5E0CcfA0000066B243cAD92d0D	ah mbuh aku yo ngelu lek di kongkon gawe ngenekan, trus kudu piye aku 	1566	No Vote	Hero Member						
sergeykravchenko1959	0x66173246C0d049929D3e72e3CdB7c9Ff66DB16B7 	poison lord shoot poor beard	1252	No Vote	Full Member						
mainconcept	0x4cee23a86A414086bB3b76632A3b703C5c71a7E6	equipped ones wooed your clearing	9184	1	Full Member	Sphere Name: German Community✓ Description: I would like to become a DAO Movement translator and a ambassador for the German Community. My attention as a translator is located on the translation of the Bitcointalk ANN thread and the DAO website for german speaking people. Also as a ambassador i'd like to spread out the DAO movement to people in germany and help the community in their native language. Comment: If you would like to build a team, pease contact #54 seele, #324 Antragos, #431 Grae,  #416 evergrow 	#1 Airdrop Closing Date Proposal: 01.11.17 #2 Airdrop Participant Hard Cap Proposal: 1500	✓	✓		
malekbaba	0xa87e260320485FB8e4b35614728d92655ef40146	Know Thyself, work hard, share your thoughts and be successful 	1566	No Vote	Hero Member						
DarkTrollCoin	0x59827b08a0ed17ea7201c5d70455d6f4aff2e4f8	J'aime beaucoup participer a de nouveaux projets! A DAO is the future. Projects like these one will be how to do things in the future as well. We need to connect each others to take the good decisions instead of keeping been acting like we do since centuries. We need to start thinking globally for the good of all. for the good of humanity.	31222	2	Full Member	Sphere Name: French Community✓ Description: French community for The Movement DAO.	#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: 1500	✓	✓		✓
zdeni82	0x35519d86Db0a203208c168D8F24B455150a4A15C 	The pen is blue not red???	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 31.10.17 #2 Airdrop Participant Hard Cap Proposal: 3000				
Zontop	0x5398cf3995a103cd26889faa88C1ec796Ff820D0	live like legends and support great projects 	1392	No Vote	Senior Member						
prix	0x0afbc0eda50cf43feb0a855e1e396ac830b7747b 	I like to move it	10957	1	Hero Member	Sphere Name: Wiki✓ Description: I can create a wiki for project like bitcoin.it if there is a need for it. | Comment: Yes, please. Thank you very much.	#1 Airdrop Closing Date Proposal: 17.09.17 #2 Airdrop Participant Hard Cap Proposal: 5555	✓			
GintoniK	0xbaA9f0D0D851Bf95A8A18bCEb3A15A85c8A0e727	good luck with your project airdrop is super	5844	1	Member		#1 Airdrop Closing Date Proposal: 31.8.17 #2 Airdrop Participant Hard Cap Proposal: 1500	✓			
frozenking	0xc9dd33e989f89d1bcedfd11f86dbc5d8d33a300c	Good luck guys, hope you will succeed!	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: 2700				
Departure	0xBbcA5797dAf789bc215D59C1CB30eDceFF65eA5e	London is a capital city of UK	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 08.08.17 #2 Airdrop Participant Hard Cap Proposal: 1500				
cola-jere 	0x2caf0d45deead80da1e7d091c955d48b58a28a08	Vox populi est suprema lex. Veris in Numeris. Cryptocurrencies will change the way we look and see how the monetary system works. For decentralization!	1252	No Vote	Full Member						
lx001	0xeBAd93dAe6356e9B728cf5B1800d8B84D32EA260	I love money more than anything	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 10.08.17 #2 Airdrop Participant Hard Cap Proposal: 1500				
vinipoars	0x4505F01b8446cc97be86cC69F53a8E4f41fFeF45	eu estou aqui mandando minha frase genial sacou mano valeu	34692	2	Senior Member	Users: slowgrowth; vinipoars Spheres: Portuguese & Brazil Sphere✓ Subject:  we have been in contact and since both spheres are for Portuguese speakers we would like to combine efforts in managing both in the same place. If this is not of your interest we can revert back to old model. Discord channel updated: https://discord.gg/Q884p6e	#1 Airdrop Closing Date Proposal: 31.12.17 #2 Airdrop Participant Hard Cap Proposal:5000 	✓	✓		✓
Machina_US	0x9A0D848BB5F81911E01781549ABe1d94c5336832	I hope this wont be same like The DAO who is got hacked	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 10.08.17 #2 Airdrop Participant Hard Cap Proposal: 3000				
MisO69	0xa3d536d622125806F46c73AA3C9FDce9D949940e 	You miss 100 percent of the shots you never take.	5963	0.5	Legendary		#1 Airdrop Closing Date Proposal: 01.09.2017 #2 Airdrop Participant Hard Cap Proposal: invalid  				
Pancharick	0x80aD7165F29F97896a0B5758193879DE34Fd9712	Посмотрим что выйдет из этой затеи	4383	0.5	Full Member		#1 Airdrop Closing Date Proposal: 01.09.17 #2 Airdrop Participant Hard Cap Proposal: 2000	✓			
xaker74	0x90Ec66bdc186367142F44DFD3DFE06d37144d79a	мы делаем деньги из воздуха, что бы пустить их на ветер	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 09.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
D ltr	0x8F691C6718f9CfB44021C5071367D4E91Ec3Cd3C	Semoga ratenya bisa luar binasa tinggi dari yang gratisan	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 10.08.17 #2 Airdrop Participant Hard Cap Proposal: 3333				
cott	0x5D912D66532534AFdf8cE3ab44810ADBAb6aC861	money come up every year to be great	877	No Vote	Member			✓			
Lydian	0xC3fc1cC84B982CA2c7eeecD5CfEB023E887F5cAB	Her havuzun dibi ayni Herr Hausen de Beine	33114	2	Senior Member	Sphere Name: German Community✓ Turkish Community Ambassador ✓			✓		
wbk940122	0x744435AEA2552DFF5B59917443746941033726a4	where are the horse	1252	No Vote	Full Member						
kashish948	0x0213a6d2a664F6DD92BF9dA3dD41bB45E69671e6	Really happy to join this airdrop! Support you completely!	5963	0.5	Legendary		#1 Airdrop Closing Date Proposal: 31.10.17 #2 Airdrop Participant Hard Cap Proposal: 1000 				
yurimir	0x0C16bC745fDE16093D73b7544d5BF30A1341b796	sent pm, but doesnt show in the excel sheet	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 30.10.17 #2 Airdrop Participant Hard Cap Proposal: 7000				
eP	0x20b1919b304d83158C395790F6e9a53AEA6dfa97	Will we get a good price for the starts ?	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 11.08.17 #2 Airdrop Participant Hard Cap Proposal: 3500				
March	0xb81CDedcc781290d3DCB327A07485CE35ce06c4F	how much token we will get for this genesis ?	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 10.8.17 #2 Airdrop Participant Hard Cap Proposal: 2000				
Real_Unhooked	0x8d0ba3de63beae78d035a18208b734c71000cbc7	There can only be one DAO!	10435	1	Hero Member		#1 Airdrop Closing Date Proposal: 31.10.18 #2 Airdrop Participant Hard Cap Proposal: invalid				
pv94420	0xa8e5b5bf8e50ee916af1b3e8a5f6202ebf5c8025	Good luck for DAO project.  Tanks you vers much	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 15.08.17 #2 Airdrop Participant Hard Cap Proposal: 600				
qavtaradzez	0x171a8B0066d141aA089F7bAA944097eA733184E8	fishing rod dreaming anchor dark wood	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 31.10.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
nelson4lov	0x7b1a29e582Aa041aFF93e2b5e5351594000c8591	DAO Movement for the People	1392	No Vote	Senior Member						
tammuz	0xA02E3F8F5959A7AAB7418612129b701CA1b80010	Amicus Plato sed magis amica veritas	4174	0.5	Full Member		Airdrop Closing Date Proposal: 17.08.17 Airdrop Participant Hard Cap Proposal: 7000				
sHeRiLyN1618	0x96c0a020fe377fa4bb1607b02a9715063e2ffe60	jalan andi tonro nomor tujuh belas	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 18.09.17 #2 Airdrop Participant Hard Cap Proposal: 2000				
jenx	0x0c0fbf20a677c0f5ff190b610a819e2f9bb3ac12 	The Times 03/Jan/2009 Chancellor on brink of second bailout for banks	8765	1	Full Member	Sphere Name: Crypto Hedge Fund✓ Description: This is for people who are looking to invest or share opinions on the best investment funds available and upcoming.	#1 Airdrop Closing Date Proposal: 20.08.17 #2 Airdrop Participant Hard Cap Proposal: 10000	✓			
tiaozhanziwo	0x9607b3fdC91d1D632C8eF08061F9334E0622FB3c	拿得起，放得下，才是真英雄！	1392	No Vote	Senior Member						
JustMissed	0x99265fe65cb377dae444c5a9793d1e45787cbc43	Ethereum is the best shave a man can get	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 15.08.17 #2 Airdrop Participant Hard Cap Proposal: 4000				
btcnoob85	0x197DF24481453dD03b20cBc53AfdFe7E750031e6	The whole is greater than the sum of its parts	20891	1.75	Full Member	Sphere Name: German Community✓ Description: I want to join #56 SEELE^^01 German Community as a Member and i will follow and contribute my help and wisdom to everyone in need. Long lives the movement DAO!	#1 Airdrop Closing Date Proposal: 01.09.17 #2 Airdrop Participant Hard Cap Proposal: 1000 	✓	✓	✓	
lindin99	0x3ED5aB3DE43a93a8e444945C45F6d4fe322a6608	album change detail rival feature fancy inject coin	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 06.09.17 #2 Airdrop Participant Hard Cap Proposal: 1000 				
Buchi-88	0x2427BF25EA22598949755c95c3D28Fe772B87BDE	Den Blick nach vorne, und niemals aufgeben ;-)	1789	No Vote	Legendary			✓			
EDOMAJKA11	0x478f56be8f37d5e73090506b7d5f6c9e9cd4e813	Denk groot, word groot word BTC..	4174	0.5	Full Member	Sphere Name:Balkan Only✓ Description:Bosna.Croatia,Srbia,Montenegro,Slovenia					
daadog	0xE465e43b52FC7F4479eFf2525207bd3872813705	May the future hold only good things!	2782	0.5	Member		#1 Airdrop Closing Date Proposal: 31.08.2017 #2 Airdrop Participant Hard Cap Proposal: 1000				
Homak	0x82c30288933810a6Fb0AEF610dCf6D6E26E42752	Привет,удачи,спасибо,гуляй,футбол.	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 22.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
alex9919	0x0ea53abA7a8164ebbfEFe13a8B0EF11d8293c77c	mangio il pane col salame	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 31.09.17 #2 Airdrop Participant Hard Cap Proposal: 3000 				
Chibongvdg	0xf5a5BDF579Cda45810b44Db0742b2Ff58dc05c75	This is the new beginning of cryptocurrency. Genesis will rewrite the history!	1252	No Vote	Full Member						
(oYo)	0xAD9D391db6cbc6f97cD7b4B98d0f679CC58451C7	There is no love sincerer than the love of boobies.	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 31.08.2017 #2 Airdrop Participant Hard Cap Proposal: 1000				
European Central Bank	0xdc85bed6c8482e8927e6b261f1aa9dc1d65cec74	let's really prove to the world that this is an unstoppable force. 	10435	1	Hero Member		#1 Airdrop Closing Date Proposal: 01.09.17 #2 Airdrop Participant Hard Cap Proposal: 2250				
pushups44	0x6d70c5bbc7701053b748ee37268d3130ff7c3f10	The DAO movement to the moon and beyond.	8765	1	Full Member			✓			
destielq	0x61554460574935156Aa64718046A40d0E3938961	this train will be cool for hodlers	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 01.10.17 #2 Airdrop Participant Hard Cap Proposal: 1500				
Niya	0x80664CE072802486ba992C3256086082434062c3	Break on Through to the Other Side	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 30.09.17 #2 Airdrop Participant Hard Cap Proposal: 5000 				
jalmari	0x0bf45e921b0a12a6e975431ec9e4546e6a233e77	This is my excellent genesis sentence	10957	1	Hero Member		#1 Airdrop Closing Date Proposal: 18.08.17 #2 Airdrop Participant Hard Cap Proposal: 1500	✓			
u9y42	0x9936f714e754601971cAFd0f3Fd7Ab2A9FD1c8f3	The trick is to combine your waking rational abilities with the infinite possibilities of your dreams. Because if you can do that you can do anything.	5963	0.5	Legendary		#1 Airdrop Closing Date Proposal: 30.09.17 #2 Airdrop Participant Hard Cap Proposal: 4000				
collac	0xD9B82aE7417673a181e5b0b7698cd5D12DEd9E8F	que pasa pues care chimba	9183	1	Full Member		#1 Airdrop Closing Date Proposal: 12. 08.17 #2 Airdrop Participant Hard Cap Proposal: 850	✓	✓		
KenM	0x5dcBb1bFCF502A5a6563c8D582db50cDC1DdA1EB	thank you for the opportunity	2922	0.5	Member		#1 Airdrop Closing Date Proposal: 11.08.17 #2 Airdrop Participant Hard Cap Proposal: 1200	✓			
HeRetiK	0x4dF9d272b34077564ddF093A676D190dbf2F4a64	What could possibly go wrong?	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 16.10.17 #2 Airdrop Participant Hard Cap Proposal: 1021 				
kaconk	0x3B04eeCE9B08Db9b159A8206fEE8Ca7ed3e4fb79	sabune kurang lunyu, good job	1566	No Vote	Hero Member						
bobq	0x7f0d099780a3AAEcCD7a6AeCcae365dFB8Cea6eF	These were the last lights	9739	1	Senior Member		#1 Airdrop Closing Date Proposal: 31.12.2017 #2 Airdrop Participant Hard Cap Proposal: 5000	✓			
Doken	0x8917Ed3007a56543a35d6ddAa80a0d176c9316bD	This is just the beginning of something very special for humanity	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 16.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
sunce33	0x95D7dadBA22245f4fc8608c60236CbC888BAA032	realize fully distance confuse collapse	1566	No Vote	Hero Member						
majestymage	0xcFDFBb126314C0d0C9D4e4bEe24DD01ac972a7ee	this project is really interesting	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 1.11.17 #2 Airdrop Participant Hard Cap Proposal: 2500 				
ZenFr	0x5F128173D8447F0b04f05CEa94b98a646bB58063	Victime de ton amour ardent de l'humanité, tes yeux ne verront pas la rouge lueur des incendies, le hideux amas de cadavres que les balles coucheront sur le sol...	5963	0.5	Legendary		#1 Airdrop Closing Date Proposal: 10.10.17 #2 Airdrop Participant Hard Cap Proposal: invalid				
LightBT	0x710Bb0fB6823bDb9e4A955435a06160CdD1c12fa	btс wings gbyte and gup my secrets of success	9739	1	Senior Member		#1 Airdrop Closing Date Proposal: 20.08.17 #2 Airdrop Participant Hard Cap Proposal: 950	✓			
naska21	0xCfE90AdAc3c00Fd9b89fc7f68Ec2380366FdF65e	Thinking DAO? Think Movement. It is more than just a single word.	1566	No Vote	Hero Member						
Tony128	0xcD7bb1531cFEF168Fb5De2161a4a088503c14CbF	No risk no fun und Spass muss sein	9182	1	Full Member	Sphere Name: German Community✓ Description: I want to join #56 SEELE^^01 German Community as a Member and i will follow and contribute my help and wisdom to everyone in need. Long lives the movement DAO!  Sphere Name: Creative Designs for the DAO Description: I want to join #324 freshb Creative designs for the DAO sphere as a Member and i will contribute by commenting on images, and providing images and suggestions for DAO.	#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: 2000 	✓	✓		
NaXxow	0x67238b534dE0724f027A1FBf0196a97EBBee918D	Crypto is the new beginning, DAO is the start.	5217	0.5	Hero Member		Airdrop Closing Date Proposal: 18.11.17 Airdrop Participant Hard Cap Proposal: 2500 				
MANNYKURSH	0xF88a52f3594dc2593Cfd26b9E2bAc59a3dCfff5E	jantje klaasje pietje jootje beetje geertje flipje hansje aasje	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 01.09.17 #2 Airdrop Participant Hard Cap Proposal: 950				
easybitcoin2013	0x386bcC85d22Dfc704324076aFc07ef0bC043E811	love is in the air  :*	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 30.10.17 #2 Airdrop Participant Hard Cap Proposal: 5000 				
Hong Kong	0x47B124823805c997Ca5D6Fd31e17569C1740490f	I am taking a picture of my family in Hong Kong I like it This is our beautiful life Let's do this my friends	5844	1	Member	#1 Airdrop Closing Date Proposal: 29.08.2017 #2 Airdrop Participant Hard Cap Proposal: 666					
Doddolo	0xa7A47325A41CE967F186a2f0065Fa5bb043cA359	thank you very much for this	1392	No Vote	Senior Member						
Nadia_l	0xE9dE461C02AC1894B33957F2dC2d998962415b20	Didn`t understand anything, but it`s interesting	22157	1.75	Senior Member	Russian Whitepaper: https://drive.google.com/open?id=0Bya4hK-LD-SScmVvNEhJbjhxLVU ✓	#1 Airdrop Closing Date Proposal: 20.08.17 #2 Airdrop Participant Hard Cap Proposal: 3000 			✓	
CryptoDog.goD	0x83af4Da8B04EE7A2940Ac80C309b6cAe3ac7c9e6	hope useful participant gondor golum	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 01.01.18 #2 Airdrop Participant Hard Cap Proposal: 877				
ArmsteadThomas	0x599a9e85B93833cc52420E199C66C9005cC7459A	project looks very decent for big community	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 30.08.17 #2 Airdrop Participant Hard Cap Proposal: 1200				
minime0105	0x177bBbE1E5e86b4A18e12Ea9fc36888e349AC631	crypto is the new beginning, dao is the start, I love airdrop	5217	0.5	Hero Member		Airdrop Closing Date Proposal: 15.08.17 Airdrop Participant Hard Cap Proposal: 2500				
Rune	0xBE29D8f41896e6D16B0ab0f82F17bfF7A7661411	Women change their minds all the time	10999	1	Hero Member	Sphere Name: CRYPTOPIA EDUCATION✓ Description: Help Newbies settle in and learn all about crypto and the DAO, would like to make video and written tutorials and also let Newbies feel loved and welcomed. Smiley"	#1 Airdrop Closing Date Proposal: 09.30.17 #2 Airdrop Participant Hard Cap Proposal: 2000 	✓		✓	
jpdorn	0x807A8f83Cc23E3b75E57C962a815BF9E4B423862	this is a historic moment	4638	0.5	Senior Member		Airdrop Closing Date Proposal: 24/08/2017 Airdrop Participant Hard Cap Proposal: 2500				
Meskalin54	0x5F3105576981a7a0FfdFCa4E56cDE394E42f02F8	Hello there wish to know what is genesis sentence	6123	1	Member	Sphere Name: Bounty Hunters✓ Description: For all who takes part in bounty	#1 Airdrop Closing Date Proposal: 12.10.17 #2 Airdrop Participant Hard Cap Proposal: 3000	✓	✓		
jootjejodel	0xC68b2ad58E04a7eF8C849b72506c936971Fa1A27	this coin is super nice dude	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 17.08.17 #2 Airdrop Participant Hard Cap Proposal: 2000 				
mitchr4	0xe5e201D021A6669080a2a38138cC4b0fCb285A3c	there is nothing can change me	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 01.10.17 #2 Airdrop Participant Hard Cap Proposal: 1500				
kamvreto	0x196A1d3DA3953A6623D943351f7e318B50870Db2	keep calm and stay kamvret	1566	No Vote	Hero Member						
Penetrator10	0x68794e36B8d3B3A218AFFbD461a2CE675BB433CB	everyone dies but not everyone lives	1566	No Vote	Hero Member						
PewPewGoesTheDuck	0xD876aA8BF1DA491747c5cF510bE3f0B99d73388a	Things go bump in the night	1252	No Vote	Full Member						
Provok	0x08c258cC25B8E145b5272579718209fDCC8D9BcB	Пользуясь случаем, хочу передать привет!	23741	1.75	Hero Member	Sphere Name:ДВИЖУХА (The Movement Russia)✓ Description: Russian Movement team https://bitcointalk.org/index.php?topic=2093521.0				✓	
AbsoluteT	0x1fd7805b86e8A182afbd32826846bCE4cA28487A	we can make anime real	9739	1	Senior Member	Sphere Name: Crypto Hedge Fund✓ Description: This is for people who are looking to invest or share opinions on the best investment funds available and upcoming.	#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: 2000 	✓			
illiki23	0x662b99b959228b9a7F93B5470d870b5BbE298713	frankly challenges are cheesy biscuits	1392	No Vote	Senior Member						
AltsBoom	0x4c0827C253e0E83569c21d326822b30F901F42d1	if you like pudding then buy crypto for more	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 20.08.17 #2 Airdrop Participant Hard Cap Proposal: 3000				
kennyP	0x8adB372c9354Cad0F1B48A71d077Bab37fF66Dc6	For those about to rock we salute you	5217	0.5	Hero Member						
klf	0xaaea9d798d42ebfb179814a0a14dfcc8688c9f8c	DAO looks more promising project and I'm happy to participate in this airdrop	1789	No Vote	Legendary						
skadoosh1	0xECB710618e9F2546AF83d0014361e60aA5b954aB	you are a good guy	2505	0.5	Jr. Member	Sphere Name : Spanish Community✓ Description : A group where the DAO movement can be shared amongst people who speak Spanish whether they be from Latin America or Spain. Other topics of blockchain development can be talked here too.	#1 Airdrop Closing Date Proposal: 13.8.17 #2 Airdrop Participant Hard Cap Proposal: 2000	✓			
AweJohn	0x8BB5199798e48952b98AF41f3e8863e10ffcc3E4	Snowball can go up and down, never down and up 	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 08.25.17 #2 Airdrop Participant Hard Cap Proposal: 3500 				
